date,noComplaints,noResolvedComplaints,noProblems,noInfoSeeking
9/14/2015,49,63,49,0
9/15/2015,56,73,56,0
9/16/2015,68,71,68,0
9/17/2015,24,0,24,0
9/18/2015,45,52,45,0
9/19/2015,47,0,47,0
9/20/2015,38,0,38,0
9/21/2015,63,59,63,0
9/22/2015,54,63,54,0
9/23/2015,50,98,50,0
9/24/2015,41,54,41,0
9/25/2015,33,0,33,0
9/26/2015,36,0,36,0
9/27/2015,22,0,22,0
9/28/2015,66,62,66,0
9/29/2015,52,99,52,0
9/30/2015,64,94,64,0
10-01-2015,61,72,61,0
10-02-2015,24,0,24,0
10-03-2015,35,0,35,0
10-04-2015,31,0,31,0
10-05-2015,56,68,56,0
10-06-2015,82,69,82,0
10-07-2015,82,75,82,0
10-08-2015,68,145,68,0
10-09-2015,67,93,67,0
10-10-2015,25,0,25,0
10-11-2015,25,0,25,0
10-12-2015,51,63,51,0
10/13/2015,49,46,49,0
10/14/2015,43,91,43,0
10/15/2015,40,78,40,0
10/16/2015,39,68,39,0
10/17/2015,29,0,29,0
10/18/2015,17,0,17,0
10/19/2015,37,63,37,0
10/20/2015,40,46,40,0
10/21/2015,49,57,49,0
10/22/2015,23,0,23,0
10/23/2015,34,50,34,0
10/24/2015,24,0,24,0
10/25/2015,15,0,15,0
10/26/2015,37,65,37,0
10/27/2015,52,54,52,0
10/28/2015,35,54,35,0
10/29/2015,30,41,30,0
10/30/2015,33,30,33,0
10/31/2015,30,0,30,0
11-01-2015,21,0,21,0
11-02-2015,41,67,41,0
11-03-2015,46,38,46,0
11-04-2015,35,49,35,0
11-05-2015,42,53,42,0
11-06-2015,23,29,23,0
11-07-2015,24,0,24,0
11-08-2015,15,0,15,0
11-09-2015,24,62,24,0
11-10-2015,21,4,21,0
11-11-2015,29,0,29,0
11-12-2015,17,0,17,0
11/13/2015,37,54,37,0
11/14/2015,41,0,41,0
11/15/2015,13,0,13,0
11/16/2015,51,70,51,0
11/17/2015,46,69,46,0
11/18/2015,34,55,34,0
11/19/2015,41,39,41,0
11/20/2015,37,45,36,1
11/21/2015,30,0,29,1
11/22/2015,19,0,19,0
11/23/2015,40,49,37,3
11/24/2015,38,58,34,4
11/25/2015,29,0,28,1
11/26/2015,37,56,36,1
11/27/2015,41,46,40,1
11/28/2015,20,0,19,1
11/29/2015,10,0,10,0
11/30/2015,45,38,45,0
12-01-2015,44,74,43,1
12-02-2015,34,48,32,2
12-03-2015,39,46,38,1
12-04-2015,42,42,38,4
12-05-2015,28,0,27,1
12-06-2015,18,0,18,0
12-07-2015,38,50,35,3
12-08-2015,44,44,43,1
12-09-2015,45,52,44,1
12-10-2015,39,38,37,2
12-11-2015,39,39,36,3
12-12-2015,32,0,29,3
12/13/2015,21,0,19,2
12/14/2015,58,45,57,1
12/15/2015,56,74,54,2
12/16/2015,49,63,45,4
12/17/2015,31,49,29,2
12/18/2015,37,42,35,2
12/19/2015,24,0,24,0
12/20/2015,20,0,19,1
12/21/2015,56,55,53,3
12/22/2015,69,55,66,3
12/23/2015,54,53,54,0
12/24/2015,43,0,43,0
12/25/2015,22,0,20,2
12/26/2015,26,0,26,0
12/27/2015,14,0,14,0
12/28/2015,49,88,48,1
12/29/2015,58,93,58,0
12/30/2015,36,96,36,0
12/31/2015,36,65,36,0
01-01-2016,35,37,33,2
01-02-2016,36,0,33,3
01-03-2016,32,0,30,2
01-04-2016,63,44,53,10
01-05-2016,50,35,42,8
01-06-2016,58,69,57,1
01-07-2016,70,55,69,1
