"date","open","high","low","volume","close"
2007-09-12,183.139999,184.25,181.699997,7737700,182.529999
2007-09-13,183.75,196.039993,183.720001,11292300,188.470001
2007-09-14,186.949997,191,185.589996,9337600,190.589996
2007-09-17,189,189.5,186.339996,7751300,187.610001
2007-09-18,190.800003,200.759995,187.410004,22107700,200.5
2007-09-19,203.490005,207,203,23115400,205.5
2007-09-20,210.940002,211,203.440002,27435100,203.529999
2007-09-21,205.559998,210.350006,203.529999,18187700,209.979996
2007-09-24,210.990005,214.899994,207.710007,13439800,210.429993
2007-09-25,209,213.070007,208.809998,11727900,210.899994
2007-09-26,212.419998,216.270004,210.800003,10681000,214.610001
2007-09-27,215.449997,218.380005,214.190002,8330100,216.779999
2007-09-28,215.759995,218.669998,215.25,6156400,216.740005
2007-10-01,215.410004,223.619995,215.399994,9905600,222.979996
2007-10-02,223.25,228.5,222.110001,9419800,228.020004
2007-10-03,226.25,230.630005,225.669998,10121400,227.350006
2007-10-04,227.550003,229.25,223.889999,10039900,225.949997
2007-10-05,227.110001,229.720001,225.960007,7327700,228.5
2007-10-08,227.509995,229.350006,226.259995,4142600,226.960007
2007-10-09,227.800003,239.699997,226.199997,15123700,239.199997
2007-10-10,237.110001,239.029999,234.899994,9685200,235.940002
2007-10-11,239.020004,239.020004,226.050003,12887100,229.009995
2007-10-12,230.669998,234.199997,229.729996,6544800,233.559998
2007-10-15,233.25,234.309998,227.419998,7024200,229.339996
2007-10-16,227.759995,228,223.199997,7415500,224.830002
2007-10-17,228.25,230.479996,223.080002,9189000,227.619995
2007-10-18,224.899994,228.309998,224.220001,6499200,227.850006
2007-10-19,226.149994,227.470001,217.600006,13106800,217.690002
2007-10-22,216.520004,224.25,213,12163500,222.179993
2007-10-23,223.630005,225.869995,220.910004,8176600,223.759995
2007-10-24,222.759995,225.820007,215.800003,12650800,225.119995
2007-10-25,224.110001,230,221.809998,12088700,226.660004
2007-10-26,232.860001,236.990005,229.360001,9389300,235.919998
2007-10-29,236.220001,244.979996,235.070007,9892400,243.809998
2007-10-30,241.25,246.399994,239.449997,10453400,240.330002
2007-10-31,240.360001,250.699997,240,14384600,247.919998
2007-11-01,243.550003,244.410004,238.75,12579000,240.210007
2007-11-02,241.800003,241.800003,223.440002,25177900,229.600006
2007-11-05,220,224.899994,212.800003,21377900,218.389999
2007-11-06,221.740005,224.070007,213.589996,15570500,223.160004
2007-11-07,218.899994,221.789993,213.160004,13210300,214.179993
2007-11-08,213.669998,218,201.570007,20301400,209.940002
2007-11-09,202.570007,218.589996,202.570007,16979700,211.330002
2007-11-12,210.899994,221.190002,208.240005,14406900,214.710007
2007-11-13,220.940002,233.039993,218.339996,17393800,233.039993
2007-11-14,239.75,240.050003,231.039993,13943300,233.309998
2007-11-15,230.110001,233.690002,223.740005,10243100,227.020004
2007-11-16,228.259995,229.570007,222.570007,10083400,225.25
2007-11-19,223.520004,228.399994,216.619995,11007900,220.539993
2007-11-20,220.399994,226.229996,213.5,13433000,217.479996
2007-11-21,213.410004,215.270004,206.440002,14874300,209.5
2007-11-23,212.520004,216.479996,211.800003,4737100,216.479996
2007-11-26,214.649994,217.449997,205.419998,9815200,207.449997
2007-11-27,210,213.979996,206.190002,11946400,213.330002
2007-11-28,217.580002,227.860001,217.080002,15710600,227.520004
2007-11-29,226.020004,228.309998,222.5,9774200,224.380005
2007-11-30,232.649994,234.220001,224.770004,11878600,226.639999
2007-12-03,226.089996,229.350006,223.600006,6800300,226.889999
2007-12-04,221.059998,223.460007,215.220001,10734100,215.220001
2007-12-05,219.460007,220,214.229996,12954700,218.259995
2007-12-06,214.5,223.350006,214.289993,9987100,222.509995
